,vertical_column_troposphere,day
0,3.455485698564055,2023-08-02
0,3.235551313317551,2023-08-04
0,2.913566024964074,2023-08-05
0,3.7401585016296983,2023-08-06
0,3.612355040201977,2023-08-07
0,2.8536566985252927,2023-08-08
0,3.1481668374301806,2023-08-09
0,4.144584221986467,2023-08-11
0,2.6237528779254946,2023-08-12
0,11.412564615780274,2023-08-15
0,3.9429225304563533,2023-08-16
0,2.704634776242711,2023-08-17
0,3.7816194583116824,2023-08-18
0,3.9336681916144327,2023-08-19
0,4.489618912249494,2023-08-20
0,3.794376339749568,2023-08-21
0,3.8285883600277306,2023-08-22
0,2.617802161000315,2023-08-23
0,5.007439226375453,2023-08-25
0,3.9002345657744386,2023-08-26
0,5.614834599523654,2023-08-27
0,7.303400926678871,2023-08-28
0,5.445277113617187,2023-08-29
0,3.693366521850182,2023-08-30
0,4.388083413109719,2023-08-31
0,4.979162113710886,2023-09-01
0,6.244615572642037,2023-09-02
0,4.902895958194801,2023-09-03
0,6.406563685586137,2023-09-04
0,3.5446785663919016,2023-09-05
0,4.128287971816453,2023-09-06
0,13.081426854394577,2023-09-07
0,3.310481105471884,2023-09-09
0,3.6339454680955736,2023-09-10
0,5.912151002503529,2023-09-11
0,4.590046155965014,2023-09-12
0,12.651804422650722,2023-09-13
0,3.019179653000478,2023-09-14
0,7.105626436965954,2023-09-15
0,5.382940415583581,2023-09-16
0,4.333256191545991,2023-09-17
0,3.5385675771828486,2023-09-18
0,3.6527770351299673,2023-09-19
0,3.5630399232389434,2023-09-20
0,3.5536978412789946,2023-09-21
0,6.606921886962287,2023-09-22
0,4.625443836539056,2023-09-23
0,35.81770152043538,2023-09-24
0,9.547635919812517,2023-09-25
0,4.61510170550855,2023-09-26
0,5.316748784792356,2023-09-27
0,5.892955968881785,2023-09-28
0,3.7162210243849043,2023-09-29
0,3.6938741803148765,2023-09-30
0,4.412056472876314,2023-10-01
0,3.9180602690260997,2023-10-02
0,4.15542774968124,2023-10-03
0,4.263479593674938,2023-10-04
0,6.376397756801059,2023-10-05
0,5.003328486569024,2023-10-06
0,4.10510731113272,2023-10-07
0,3.358864732825549,2023-10-08
0,4.381734733776597,2023-10-09
0,8.404498858727422,2023-10-10
0,13.774389813416223,2023-10-11
0,2.592664379057321,2023-10-12
0,3.685836675145009,2023-10-13
0,3.2332698274769607,2023-10-14
0,3.6815325144784987,2023-10-15
0,3.074695367097274,2023-10-16
0,3.221198420151361,2023-10-17
0,3.3730418566752434,2023-10-18
0,4.253880784653801,2023-10-19
0,3.404737423500304,2023-10-20
0,3.9285518071721937,2023-10-21
0,5.771515618939583,2023-10-22
0,5.043775172323308,2023-10-23
0,3.9747665472153977,2023-10-24
0,3.8771856455371543,2023-10-25
0,4.426253747773732,2023-10-26
0,4.675229516083619,2023-10-27
0,3.282390457073613,2023-10-28
0,3.281663042904105,2023-10-29
0,5.813527068842825,2023-10-30
0,5.76183513175686,2023-10-31
0,3.001987417475882,2023-11-01
0,3.5898412069137895,2023-11-02
0,3.18632587224962,2023-11-03
0,3.1563422051422356,2023-11-04
0,3.35988128546082,2023-11-05
0,4.229833119006326,2023-11-06
0,3.628463410193063,2023-11-07
